State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Uttar Pradesh",Hamirpur,"Maudaha APMC",Wheat,Deshi,FAQ,26/07/2026,2330,2330,2330
Karnataka,Chitradurga,"Hiriyur APMC",Coconut,Small,Small,26/07/2026,18000,18000,18000
Gujarat,"Chhota Udaipur","Kalediya APMC",Cotton,"Shanker 6 (B) 30mm FIne",FAQ,26/07/2026,7900,8300,8100
Gujarat,Amreli,"Damnagar APMC",Lemon,Lemon,Local,26/07/2026,3000,3000,3000
Gujarat,Amreli,"Damnagar APMC",Cauliflower,Cauliflower,Local,26/07/2026,4500,4500,4500
Gujarat,Amreli,"Damnagar APMC",Tomato,Local,Local,26/07/2026,3500,3500,3500
Gujarat,Rajkot,"Gondal(Veg.market Gondal) APMC",Brinjal,Brinjal,Local,26/07/2026,150,1200,675
Gujarat,Rajkot,"Gondal(Veg.market Gondal) APMC",Carrot,Carrot,Local,26/07/2026,900,3000,1950
Gujarat,Rajkot,"Gondal(Veg.market Gondal) APMC","Green Chilli","Green Chilly",Local,26/07/2026,1000,8000,4500
Gujarat,Rajkot,"Gondal(Veg.market Gondal) APMC",Lemon,Other,Local,26/07/2026,1000,4500,2750
"Tamil Nadu",Madurai,"Chokkikulam(Uzhavar Sandhai )",Onion,Bellary,Local,26/07/2026,3800,4000,3900
"Tamil Nadu",Madurai,"Chokkikulam(Uzhavar Sandhai )",Groundnut,"Big (With Shell)",Local,26/07/2026,6000,7000,6500
"Tamil Nadu",Madurai,"Chokkikulam(Uzhavar Sandhai )",Mango,Safeda,Local,26/07/2026,4000,7000,5500
"Tamil Nadu",Madurai,"Chokkikulam(Uzhavar Sandhai )",Cauliflower,Ranchi,Local,26/07/2026,2500,2800,2650
"Tamil Nadu",Madurai,"Chokkikulam(Uzhavar Sandhai )",Papaya,Papaya,Local,26/07/2026,4000,4500,4250
"Tamil Nadu",Madurai,"Chokkikulam(Uzhavar Sandhai )",Tomato,Deshi,Local,26/07/2026,2000,2400,2200
"Tamil Nadu",Madurai,"Chokkikulam(Uzhavar Sandhai )","Bitter gourd","Bitter Gourd",Local,26/07/2026,6000,7000,6500
"Tamil Nadu",Madurai,"Chokkikulam(Uzhavar Sandhai )",Beans,"Beans (Whole)",Local,26/07/2026,8000,9000,8500
"Tamil Nadu",Madurai,"Chokkikulam(Uzhavar Sandhai )",Tapioca,Tapioca,Local,26/07/2026,3000,4000,3500
"Tamil Nadu",Madurai,"Chokkikulam(Uzhavar Sandhai )",Coconut,Coconut,Local,26/07/2026,5800,6000,5900
"Tamil Nadu",Madurai,"Chokkikulam(Uzhavar Sandhai )","Sweet Potato","Hosur Red",Local,26/07/2026,3600,4000,3800
"Tamil Nadu",Madurai,"Chokkikulam(Uzhavar Sandhai )",Snakeguard,Snakeguard,Local,26/07/2026,3600,4000,3800
"Tamil Nadu",Madurai,"Chokkikulam(Uzhavar Sandhai )",Cucumbar(Kheera),Cucumbar,Local,26/07/2026,6000,10000,8000
"Tamil Nadu",Madurai,"Chokkikulam(Uzhavar Sandhai )",Ridgeguard(Tori),Ridgeguard(Tori),Local,26/07/2026,4000,6500,5250
"Tamil Nadu",Madurai,"Chokkikulam(Uzhavar Sandhai )","Knool Khol","Knool Khol",Local,26/07/2026,5500,6000,5750
"Tamil Nadu",Madurai,"Chokkikulam(Uzhavar Sandhai )",Lime,Lime,Local,26/07/2026,14000,15000,14500
"Tamil Nadu",Madurai,"Chokkikulam(Uzhavar Sandhai )",Pomegranate,Pomogranate,Local,26/07/2026,24000,28000,26000
"Tamil Nadu",Madurai,"Chokkikulam(Uzhavar Sandhai )",Yam(Ratalu),"Yam (Ratalu)",Local,26/07/2026,7000,8000,7500
Karnataka,Vijayanagara,"H.B. Halli APMC",Cowpea(Lobia/Karamani),"Cowpea (Whole)",Large,26/07/2026,7800,8700,8200
Karnataka,Vijayanagara,"H.B. Halli APMC","Ragi(Finger Millet)","Feeds (Poultry Quality)",FAQ,26/07/2026,3200,3380,3380
"Uttar Pradesh",Saharanpur,"Saharanpur APMC",Onion,Other,FAQ,26/07/2026,1600,1600,1600
Telangana,Warangal,"Warangal APMC","Bhindi(Ladies Finger)",Bhindi,FAQ,26/07/2026,800,1000,900
Telangana,Warangal,"Warangal APMC",Cauliflower,Cauliflower,FAQ,26/07/2026,3500,4000,3750
Telangana,Warangal,"Warangal APMC",Cabbage,Cabbage,FAQ,26/07/2026,2000,2400,2200
Telangana,Warangal,"Warangal APMC","Field Pea","Field Pea",FAQ,26/07/2026,5000,5500,5250
Telangana,Warangal,"Warangal APMC",Potato,Potato,FAQ,26/07/2026,1500,2000,1750
"Andhra Pradesh",Prakasam,"Addanki APMC","Bengal Gram(Gram)(Whole)",Gulabi,Local,26/07/2026,6000,6050,6030
"Andhra Pradesh",Tirupathi,"Srikalahasti APMC",Groundnut,Local,Local,26/07/2026,6700,6700,6700
Keralam,Thirssur,"Pariyaram VFPCK Market",Banana,"Nendra Bale","Grade A",26/07/2026,4000,4400,4200
"Uttar Pradesh",Saharanpur,"Deoband APMC",Wood,Eucalyptus,FAQ,26/07/2026,300,300,300
"Uttar Pradesh",Etawah,"Etawah APMC",Tomato,Other,FAQ,26/07/2026,1800,1800,1800
"Uttar Pradesh",Agra,"Jarar APMC",Potato,Other,FAQ,26/07/2026,500,500,500
"Uttar Pradesh",Varanasi,"Varanasi APMC",Onion,Other,FAQ,26/07/2026,1750,1900,1884.27
Uttarakhand,Haridwar,"Roorkee APMC",Mango,Other,Local,26/07/2026,1200,1800,1500
Uttarakhand,Haridwar,"Roorkee APMC","Bhindi(Ladies Finger)",Other,Local,26/07/2026,1100,1500,1300
Odisha,Sonepur,"Dungurapalli APMC",Cabbage,Cabbage,Local,26/07/2026,3500,4000,3800
Odisha,Sonepur,"Dungurapalli APMC","Pointed gourd(Parval)",Other,Local,26/07/2026,4500,4680,4650
"Tamil Nadu",Cuddalore,"Viruthachalam(Uzhavar Sandhai )",Brinjal,Round,Local,26/07/2026,5000,6000,5500
"Tamil Nadu",Cuddalore,"Viruthachalam(Uzhavar Sandhai )",Papaya,Papaya,Local,26/07/2026,4000,4500,4250
"Tamil Nadu",Cuddalore,"Viruthachalam(Uzhavar Sandhai )",Amaranthus,Amaranthus,Local,26/07/2026,2000,2500,2250
"Tamil Nadu",Cuddalore,"Viruthachalam(Uzhavar Sandhai )","Green Chilli","Green Chilly",Local,26/07/2026,4000,4000,4000
"Tamil Nadu",Cuddalore,"Viruthachalam(Uzhavar Sandhai )",Snakeguard,Snakeguard,Local,26/07/2026,3000,3000,3000
"Tamil Nadu",Cuddalore,"Viruthachalam(Uzhavar Sandhai )",Beetroot,Beetroot,Local,26/07/2026,6000,6000,6000
"Tamil Nadu",Cuddalore,"Viruthachalam(Uzhavar Sandhai )","Green Avare(W)","Green Avare (W)",Local,26/07/2026,8000,14000,11000
"Tamil Nadu",Dharmapuri,"Dharmapuri(Uzhavar Sandhai )",Onion,Bellary,Local,26/07/2026,3600,3800,3700
"Tamil Nadu",Dharmapuri,"Dharmapuri(Uzhavar Sandhai )",Potato,"Red Nanital",Local,26/07/2026,2800,3000,2900
"Tamil Nadu",Dharmapuri,"Dharmapuri(Uzhavar Sandhai )",Coriander(Leaves),"I Sort",Local,26/07/2026,7500,8000,7750
"Tamil Nadu",Dharmapuri,"Dharmapuri(Uzhavar Sandhai )",Papaya,Papaya,Local,26/07/2026,3300,3500,3400
"Tamil Nadu",Dharmapuri,"Dharmapuri(Uzhavar Sandhai )","Bhindi(Ladies Finger)",Bhindi,Local,26/07/2026,1700,1800,1750
"Tamil Nadu",Dharmapuri,"Dharmapuri(Uzhavar Sandhai )",Tapioca,Tapioca,Local,26/07/2026,1800,2000,1900
"Tamil Nadu",Dharmapuri,"Dharmapuri(Uzhavar Sandhai )",Coconut,Coconut,Local,26/07/2026,6500,7000,6750
"Tamil Nadu",Dharmapuri,"Dharmapuri(Uzhavar Sandhai )",Raddish,Raddish,Local,26/07/2026,1800,2000,1900
"Tamil Nadu",Dharmapuri,"Dharmapuri(Uzhavar Sandhai )",Thondekai,Thondekai,Local,26/07/2026,4500,4800,4650
"Tamil Nadu",Dharmapuri,"Dharmapuri(Uzhavar Sandhai )",Mango(Raw-Ripe),"Mango - Raw-Ripe",Local,26/07/2026,2800,3000,2900
"Tamil Nadu",Dharmapuri,"Dharmapuri(Uzhavar Sandhai )",Guava,"Guava Allahabad",Local,26/07/2026,6200,6500,6350
"Tamil Nadu",Dharmapuri,"Dharmapuri(Uzhavar Sandhai )","Indian Beans(Seam)","Indian Beans (Seam)",Local,26/07/2026,5500,6000,5750
"Tamil Nadu",Dharmapuri,"Dharmapuri(Uzhavar Sandhai )",Colacasia,Colacasia,Local,26/07/2026,6300,6600,6450
"Tamil Nadu",Dharmapuri,"Dharmapuri(Uzhavar Sandhai )",Mashrooms,Mashrooms,Local,26/07/2026,13000,14000,13500
"Tamil Nadu",Dharmapuri,"Palacode(Uzhavar Sandhai )",Garlic,Garlic,Local,26/07/2026,17500,18000,17750
"Tamil Nadu",Dharmapuri,"Palacode(Uzhavar Sandhai )",Tomato,Local,Local,26/07/2026,1400,1600,1500
"Tamil Nadu",Dharmapuri,"Palacode(Uzhavar Sandhai )","Bhindi(Ladies Finger)",Bhindi,Local,26/07/2026,2200,2500,2350
"Tamil Nadu",Dharmapuri,"Palacode(Uzhavar Sandhai )",Ginger(Green),"Green Ginger",Local,26/07/2026,23200,23600,23400
"Tamil Nadu",Dharmapuri,"Palacode(Uzhavar Sandhai )",Snakeguard,Snakeguard,Local,26/07/2026,2800,3000,2900
"Tamil Nadu",Dharmapuri,"Palacode(Uzhavar Sandhai )",Raddish,Raddish,Local,26/07/2026,2200,2400,2300
"Tamil Nadu",Dharmapuri,"Palacode(Uzhavar Sandhai )","Green Avare(W)","Green Avare (W)",Local,26/07/2026,5000,5500,5250
"Tamil Nadu",Dharmapuri,"Palacode(Uzhavar Sandhai )",Lemon,Lemon,Local,26/07/2026,8500,9000,8750
"Tamil Nadu",Dharmapuri,"Palacode(Uzhavar Sandhai )","Sweet Corn ","Sweet Corn ",Local,26/07/2026,2800,3000,2900
"Tamil Nadu",Dharmapuri,"Pennagaram(Uzhavar Sandhai )",Onion,Bellary,Local,26/07/2026,3700,4000,3850
"Tamil Nadu",Dharmapuri,"Pennagaram(Uzhavar Sandhai )",Papaya,Papaya,Local,26/07/2026,2800,3000,2900
"Tamil Nadu",Dharmapuri,"Pennagaram(Uzhavar Sandhai )",Beans,"Beans (Whole)",Local,26/07/2026,7500,8000,7750
"Tamil Nadu",Dharmapuri,"Pennagaram(Uzhavar Sandhai )",Ridgeguard(Tori),Ridgeguard(Tori),Local,26/07/2026,3700,4000,3850
"Tamil Nadu",Dharmapuri,"Pennagaram(Uzhavar Sandhai )","Knool Khol","Knool Khol",Local,26/07/2026,4600,5000,4800
"Tamil Nadu",Dharmapuri,"Pennagaram(Uzhavar Sandhai )","Onion Green","Onion Green",Local,26/07/2026,5200,5500,5350
"Tamil Nadu",Dharmapuri,"Pennagaram(Uzhavar Sandhai )","Sweet Corn ","Sweet Corn ",Local,26/07/2026,2800,3000,2900
"Tamil Nadu",Dindigul,"Chinnalapatti(Uzhavar Sandhai )",Brinjal,Other,Local,26/07/2026,5000,6000,5500
"Tamil Nadu",Dindigul,"Chinnalapatti(Uzhavar Sandhai )",Coriander(Leaves),"I Sort",Local,26/07/2026,5500,6000,5750
"Tamil Nadu",Dindigul,"Chinnalapatti(Uzhavar Sandhai )",Tomato,Deshi,Local,26/07/2026,2000,2400,2200
"Tamil Nadu",Dindigul,"Chinnalapatti(Uzhavar Sandhai )","Cluster beans","Cluster Beans",Local,26/07/2026,4000,4600,4300
"Tamil Nadu",Dindigul,"Chinnalapatti(Uzhavar Sandhai )","Bitter gourd",Other,Local,26/07/2026,6000,7000,6500
"Tamil Nadu",Dindigul,"Chinnalapatti(Uzhavar Sandhai )",Pumpkin,Pumpkin,Local,26/07/2026,2000,2500,2250
"Tamil Nadu",Dindigul,"Chinnalapatti(Uzhavar Sandhai )","Banana - Green","Banana - Green",Local,26/07/2026,3000,3600,3300
"Tamil Nadu",Dindigul,"Chinnalapatti(Uzhavar Sandhai )",Beans,"Beans (Whole)",Local,26/07/2026,7000,8000,7500
"Tamil Nadu",Dindigul,"Chinnalapatti(Uzhavar Sandhai )",Snakeguard,Snakeguard,Local,26/07/2026,4000,5000,4500
"Tamil Nadu",Dindigul,"Chinnalapatti(Uzhavar Sandhai )",Thondekai,Thondekai,Local,26/07/2026,4000,5000,4500
"Tamil Nadu",Dindigul,"Chinnalapatti(Uzhavar Sandhai )",Mango(Raw-Ripe),"Mango - Raw-Ripe",Local,26/07/2026,4000,5000,4500
"Tamil Nadu",Dindigul,"Dindigul(Uzhavar Sandhai )",Potato,"Red Nanital",Local,26/07/2026,3000,4000,3500
"Tamil Nadu",Dindigul,"Dindigul(Uzhavar Sandhai )",Garlic,Garlic,Local,26/07/2026,15000,25000,20000
"Tamil Nadu",Dindigul,"Dindigul(Uzhavar Sandhai )",Mango,Safeda,Local,26/07/2026,4000,5000,4500
"Tamil Nadu",Dindigul,"Dindigul(Uzhavar Sandhai )","Green Peas","Green Peas",Local,26/07/2026,12000,14000,13000
"Tamil Nadu",Dindigul,"Dindigul(Uzhavar Sandhai )",Tomato,Deshi,Local,26/07/2026,2000,2400,2200
"Tamil Nadu",Dindigul,"Dindigul(Uzhavar Sandhai )","Green Chilli","Green Chilly",Local,26/07/2026,5000,6000,5500
"Tamil Nadu",Dindigul,"Dindigul(Uzhavar Sandhai )","Banana - Green","Banana - Green",Local,26/07/2026,1800,2000,1900
"Tamil Nadu",Dindigul,"Dindigul(Uzhavar Sandhai )",Beetroot,Beetroot,Local,26/07/2026,4000,8000,6000
"Tamil Nadu",Dindigul,"Dindigul(Uzhavar Sandhai )",Thondekai,Thondekai,Local,26/07/2026,4000,5000,4500
"Tamil Nadu",Dindigul,"Dindigul(Uzhavar Sandhai )","Chow Chow","Chow Chow",Local,26/07/2026,3000,3400,3200
"Tamil Nadu",Dindigul,"Dindigul(Uzhavar Sandhai )",Lime,Lime,Local,26/07/2026,12000,15000,13500
"Tamil Nadu",Dindigul,"Dindigul(Uzhavar Sandhai )","Elephant Yam(Suran)/Amorphophallus","Elephant Yam (Suran)",Local,26/07/2026,4000,5000,4500
"Tamil Nadu",Dindigul,"Dindigul(Uzhavar Sandhai )",Yam(Ratalu),"Yam (Ratalu)",Local,26/07/2026,8000,10000,9000
"Tamil Nadu",Erode,"Periyar Nagar(Uzhavar Sandhai )",Banana,Besrai,Local,26/07/2026,2200,2600,2400
"Tamil Nadu",Erode,"Periyar Nagar(Uzhavar Sandhai )",Mango,Neelam,Local,26/07/2026,5500,6000,5750
"Tamil Nadu",Erode,"Periyar Nagar(Uzhavar Sandhai )","Cluster beans","Cluster Beans",Local,26/07/2026,3000,3500,3250
"Tamil Nadu",Erode,"Periyar Nagar(Uzhavar Sandhai )","Bhindi(Ladies Finger)",Bhindi,Local,26/07/2026,2600,3000,2800
"Tamil Nadu",Erode,"Periyar Nagar(Uzhavar Sandhai )","Sweet Potato","Hosur Red",Local,26/07/2026,3600,4000,3800
"Tamil Nadu",Erode,"Periyar Nagar(Uzhavar Sandhai )",Raddish,Raddish,Local,26/07/2026,2600,3000,2800
"Tamil Nadu",Erode,"Periyar Nagar(Uzhavar Sandhai )",Drumstick,Drumstick,Local,26/07/2026,5600,6000,5800
"Tamil Nadu",Erode,"Periyar Nagar(Uzhavar Sandhai )","Tender Coconut","Tender Coconut",Local,26/07/2026,3500,4000,3750
"Tamil Nadu",Erode,"Perundurai(Uzhavar Sandhai )",Papaya,Papaya,Local,26/07/2026,2500,2800,2650
"Tamil Nadu",Erode,"Perundurai(Uzhavar Sandhai )","Bitter gourd","Bitter Gourd",Local,26/07/2026,6000,6400,6200
"Tamil Nadu",Erode,"Perundurai(Uzhavar Sandhai )",Tapioca,Tapioca,Local,26/07/2026,2000,2400,2200
"Tamil Nadu",Erode,"Perundurai(Uzhavar Sandhai )",Carrot,Pusakesar,Local,26/07/2026,7500,8000,7750
"Tamil Nadu",Erode,"Perundurai(Uzhavar Sandhai )",Cabbage,Cabbage,Local,26/07/2026,3500,3800,3650
"Tamil Nadu",Erode,"Perundurai(Uzhavar Sandhai )",Beetroot,Beetroot,Local,26/07/2026,8000,8800,8400
"Tamil Nadu",Erode,"Perundurai(Uzhavar Sandhai )","Green Avare(W)","Green Avare (W)",Local,26/07/2026,5500,6000,5750
"Tamil Nadu",Erode,"Perundurai(Uzhavar Sandhai )","Chow Chow","Chow Chow",Local,26/07/2026,2500,2800,2650
"Tamil Nadu",Erode,"Perundurai(Uzhavar Sandhai )","Onion Green","Onion Green",Local,26/07/2026,5000,5500,5250
"Tamil Nadu",Erode,"Thalavadi(Uzhavar Sandhai )",Tomato,Other,Local,26/07/2026,1200,1600,1400
"Tamil Nadu",Erode,"Thalavadi(Uzhavar Sandhai )","Green Avare(W)",Other,Local,26/07/2026,4800,5400,5100
"Tamil Nadu",Erode,"Thalavadi(Uzhavar Sandhai )","Onion Green","Onion Green",Local,26/07/2026,5000,5500,5250
"Tamil Nadu",Erode,"Thalavadi(Uzhavar Sandhai )",Mint(Pudina),Mint(Pudina),Local,26/07/2026,4400,4800,4600
"Tamil Nadu",Kallakuruchi,"Sankarapuram(Uzhavar Sandhai )",Banana,Besrai,Local,26/07/2026,4000,4000,4000
"Tamil Nadu",Kallakuruchi,"Sankarapuram(Uzhavar Sandhai )",Brinjal,Other,Local,26/07/2026,6000,6000,6000
"Tamil Nadu",Kallakuruchi,"Sankarapuram(Uzhavar Sandhai )",Pumpkin,Pumpkin,Local,26/07/2026,2500,2500,2500
"Tamil Nadu",Kallakuruchi,"Sankarapuram(Uzhavar Sandhai )",Amaranthus,Amaranthus,Local,26/07/2026,4000,4000,4000
"Tamil Nadu",Kallakuruchi,"Sankarapuram(Uzhavar Sandhai )",Coconut,Coconut,Local,26/07/2026,6000,6000,6000
"Tamil Nadu",Kallakuruchi,"Sankarapuram(Uzhavar Sandhai )",Ridgeguard(Tori),Ridgeguard(Tori),Local,26/07/2026,6000,6000,6000
"Tamil Nadu",Kallakuruchi,"Sankarapuram(Uzhavar Sandhai )",Raddish,Raddish,Local,26/07/2026,4000,4000,4000
"Tamil Nadu",Kallakuruchi,"Sankarapuram(Uzhavar Sandhai )",Yam(Ratalu),"Yam (Ratalu)",Local,26/07/2026,3000,3000,3000
"Tamil Nadu",Kallakuruchi,"Sankarapuram(Uzhavar Sandhai )","Baby Corn","Baby Corn","Grade A",26/07/2026,3000,3000,3000
"Tamil Nadu",Krishnagiri,"Avallapalli(Uzhavar Sandhai )",Garlic,Garlic,Local,26/07/2026,22000,24000,23000
"Tamil Nadu",Krishnagiri,"Avallapalli(Uzhavar Sandhai )",Coriander(Leaves),"I Sort",Local,26/07/2026,6000,7000,6500
"Tamil Nadu",Krishnagiri,"Avallapalli(Uzhavar Sandhai )","Green Peas","Green Peas",Local,26/07/2026,13000,14000,13500
"Tamil Nadu",Krishnagiri,"Avallapalli(Uzhavar Sandhai )",Ashgourd,Gouard,Local,26/07/2026,2000,2500,2250
"Tamil Nadu",Krishnagiri,"Avallapalli(Uzhavar Sandhai )",Cabbage,Cabbage,Local,26/07/2026,2500,3000,2750
"Tamil Nadu",Krishnagiri,"Avallapalli(Uzhavar Sandhai )",Thondekai,Thondekai,Local,26/07/2026,3500,4000,3750
"Tamil Nadu",Krishnagiri,"Avallapalli(Uzhavar Sandhai )",Drumstick,Drumstick,Local,26/07/2026,4500,5000,4750
"Tamil Nadu",Krishnagiri,"Avallapalli(Uzhavar Sandhai )","Onion Green","Onion Green",Local,26/07/2026,7000,8000,7500
"Tamil Nadu",Krishnagiri,"Avallapalli(Uzhavar Sandhai )",Mint(Pudina),Mint(Pudina),Local,26/07/2026,4500,5000,4750
